rest_name,rating,pro_offer,offer,del_time,category,cost_for_one,recent_orders_count
House Of Secrets,-,,40% OFF,42 min,"Sandwich, Waffle, Fast Food, Desserts, Beverages, Shake",₹150 for one,50+ orders placed from here recently
Dharani Chettinad Mess,3.2,,50% OFF,37 min,"Chettinad, Chinese, South Indian",₹150 for one,75+ orders placed from here recently
Senbagam Snacks,-,,30% OFF,54 min,South Indian,₹150 for one,
The Empire,-,,,51 min,"North Indian, Chinese, Tamil, Desserts",₹150 for one,
EatAlley Cafe,4.0,,30% OFF,56 min,"Italian, Pizza, Fast Food, Street Food, Beverages",₹150 for one,125+ orders placed from here recently
PVR Café,4.5,,20% OFF,49 min,"Fast Food, Burger, Desserts",₹150 for one,300+ orders placed from here recently
Hotel Darbar,New,,,51 min,"Chinese, Biryani, South Indian",₹150 for one,
Maroon Restaurant,New,,₹75 OFF,49 min,"Biryani, Fast Food",₹150 for one,
Biggies Burger,New,,30% OFF,68 min,Burger,₹150 for one,
The Dessert Pastries,New,,40% OFF,56 min,"Waffle, Desserts",₹100 for one,
Sur Fries Cafe,New,,,47 min,"Coffee, Fast Food, Street Food, Sandwich, Pizza",₹100 for one,
Get A Whey,New,,,52 min,"Desserts, Ice Cream",₹100 for one,
U Turn Bistro,New,,,53 min,"Fast Food, Beverages",₹100 for one,
Cana Restaurant,4.0,,,49 min,"South Indian, Biryani, North Indian",₹100 for one,
Flavours Curated By Welcomhotel,3.2,,50% OFF,48 min,"North Indian, Continental, South Indian, Italian, Desserts",₹100 for one,Follows all Max Safety measures to ensure your food is safe
Cric Pizza,3.6,Pro extra 20% OFF,60% OFF,43 min,"Pizza, Burger, Fast Food",₹100 for one,50+ orders placed from here recently
Brownies And More,-,,,50 min,Desserts,₹100 for one,Restaurant partner follows WHO protocol
House Of Wraps,4.0,,60% OFF,44 min,Wraps,₹100 for one,125+ orders placed from here recently
Bamboo House,3.2,,10% OFF,34 min,"South Indian, North Indian, Chinese, Biryani",₹100 for one,
Sticksy,4.0,,,50 min,"Desserts, Ice Cream",₹100 for one,
Pasikuthu Maa,New,,,55 min,"South Indian, Beverages",₹100 for one,
Combo King,New,,60% OFF,52 min,"Chinese, Pizza, Fast Food",₹350 for one,50+ orders placed from here recently
Jumpin Bean's,-,,,56 min,"Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",₹350 for one,
Grrany's Kitchen,-,,,55 min,"Chinese, Street Food",₹350 for one,
Tempt Asian- Park Elanza,-,,Flat 30% OFF,47 min,"Chinese, North Indian, Italian, Continental, Fast Food, Beverages",₹350 for one,
Kovai Ammu Mess,3.5,,Flat 20% OFF,52 min,"South Indian, Biryani, Chinese",₹350 for one,Follows all Max Safety measures to ensure your food is safe
Sri Ganapathy Chips,-,,,42 min,Tamil,₹350 for one,Follows all Max Safety measures to ensure your food is safe
Vru Eeats,-,,,45 min,South Indian,₹350 for one,
Cafe Blanca- Park Elanza,-,,50% OFF,40 min,"Cafe, Sandwich, Bakery, Desserts, Fast Food",₹350 for one,
Hidden Fork Pizzeria,-,,,56 min,Pizza,₹350 for one,
Pongalur Sri Annapoornis Sweets,-,,,46 min,"Mithai, Desserts, Street Food",₹350 for one,
Jigarthanda Factory,-,,,40 min,Beverages,₹350 for one,
Van Dough Pizza By Cloud Kitchen Project,-,,,53 min,"Pizza, Desserts",₹350 for one,
Shake Citi,4.1,,40% OFF,54 min,"Beverages, Shake",₹300 for one,75+ orders placed from here recently
Sri Bombay Badam Milk And Lassi,-,,Flat 20% OFF,36 min,Beverages,₹300 for one,
Belly Boy,4.0,,,48 min,"Biryani, Chinese, South Indian",₹300 for one,
The Cake Time,-,,10% OFF,46 min,"Bakery, Desserts, Fast Food",₹300 for one,
PONGALUR SRI ANNAPOORNIS SWEETS,-,,,28 min,Mithai,₹300 for one,
Bay 1,-,,,38 min,"Chinese, Momos, Lebanese, North Indian, Beverages",₹300 for one,
Kulukki Sarbath,-,,15% OFF,48 min,Beverages,₹300 for one,
Suvi's Family Restaurant,-,,,42 min,"Biryani, Chinese, South Indian, Fast Food, North Indian",₹300 for one,50+ orders placed from here recently
Gourmet Ice Cream Cakes By Baskin Robbins,-,,Flat 15% OFF,48 min,"Bakery, Desserts, Ice Cream",₹300 for one,
La Casa,-,,40% OFF,48 min,"Fast Food, Ice Cream, Beverages",₹300 for one,
Lassi Shop,-,,30% OFF,49 min,"Beverages, Ice Cream, Desserts",₹300 for one,
Winni Cakes & More,-,,50% OFF,60 min,"Bakery, Desserts",₹300 for one,
Yo Momos,-,,,51 min,Momos,₹150 for one,
Tasty Treats,-,,,54 min,"Biryani, South Indian",₹150 for one,
Annai Biriyani Center,-,,,47 min,"Biryani, South Indian",₹150 for one,
Pizza Palate,-,,,55 min,"Pizza, Fast Food, Beverages",₹150 for one,
